Run,Final_Score,Best_Params,Best_Objs
Run_1,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_2,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_3,0.008312999999999904,"{'vds': 24.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.92836, 'PAE': 14.96463, 'Tj': 103.56729}"
Run_4,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_5,0.027492000000000096,"{'vds': 24.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52, 'gsg': 78.0}","{'Pout': 25.367639999999998, 'PAE': 15.842789999999999, 'Tj': 106.51206}"
Run_6,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_7,0.0,"{'vds': 24.0, 'nfing': 8, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_8,0.027492000000000096,"{'vds': 24.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.367639999999998, 'PAE': 15.842789999999999, 'Tj': 106.51206}"
Run_9,0.027492000000000096,"{'vds': 24.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.367639999999998, 'PAE': 15.842789999999999, 'Tj': 106.51206}"
Run_10,0.008312999999999904,"{'vds': 24.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.92836, 'PAE': 14.96463, 'Tj': 103.56729}"
Run_11,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_12,0.04170533333333326,"{'vds': 24.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.37442, 'PAE': 15.47729, 'Tj': 103.67665}"
Run_13,0.04170533333333326,"{'vds': 24.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.37442, 'PAE': 15.47729, 'Tj': 103.67665}"
Run_14,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_15,0.0,"{'vds': 24.0, 'nfing': 6.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.52238, 'PAE': 15.23439, 'Tj': 104.995}"
Run_16,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_17,0.0,"{'vds': 24.0, 'nfing': 8, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_18,0.029140000000000055,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.5629, 'PAE': 15.388079999999999, 'Tj': 94.09775}"
Run_19,0.008312999999999904,"{'vds': 24.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.92836, 'PAE': 14.96463, 'Tj': 103.56729}"
Run_20,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_21,0.04170533333333326,"{'vds': 24.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.37442, 'PAE': 15.47729, 'Tj': 103.67665}"
Run_22,0.11547666666666645,"{'vds': 24.0, 'nfing': 8.0, 'wg': 50.0, 'gdg': 52.0, 'gsg': 78}","{'Pout': 23.77107, 'PAE': 14.664520000000001, 'Tj': 100.61932}"
Run_23,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_24,0.0,"{'vds': 24.0, 'nfing': 6.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.52238, 'PAE': 15.23439, 'Tj': 104.995}"
Run_25,0.06971381818181845,"{'vds': 24.0, 'nfing': 6.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 48.0}","{'Pout': 26.306690000000003, 'PAE': 15.1337, 'Tj': 108.83426000000001}"
Run_26,0.04170533333333326,"{'vds': 24.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.37442, 'PAE': 15.47729, 'Tj': 103.67665}"
Run_27,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_28,0.0,"{'vds': 24.0, 'nfing': 6.0, 'wg': 100.0, 'gdg': 52, 'gsg': 78.0}","{'Pout': 26.52238, 'PAE': 15.23439, 'Tj': 104.995}"
Run_29,0.008312999999999904,"{'vds': 24.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.92836, 'PAE': 14.96463, 'Tj': 103.56729}"
Run_30,0.04954533333333322,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 48.0}","{'Pout': 24.25682, 'PAE': 15.088420000000001, 'Tj': 96.72873}"
Run_31,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_32,0.029140000000000055,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.5629, 'PAE': 15.388079999999999, 'Tj': 94.09775}"
Run_33,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.477790000000002, 'PAE': 15.03604, 'Tj': 104.18158000000001}"
Run_34,0.08009266666666659,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 33.0}","{'Pout': 24.01611, 'PAE': 14.855, 'Tj': 98.45079}"
Run_35,0.04975066666666661,"{'vds': 20.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 22.0, 'gsg': 78.0}","{'Pout': 24.25374, 'PAE': 15.09748, 'Tj': 98.51404000000001}"
Run_36,0.027492000000000096,"{'vds': 24.0, 'nfing': 4.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.367639999999998, 'PAE': 15.842789999999999, 'Tj': 106.51206}"
Run_37,0.04170533333333326,"{'vds': 24.0, 'nfing': 4.0, 'wg': 87.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.37442, 'PAE': 15.47729, 'Tj': 103.67665}"
Run_38,0.008312999999999904,"{'vds': 24.0, 'nfing': 6.0, 'wg': 75.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 24.92836, 'PAE': 14.96463, 'Tj': 103.56729}"
Run_39,0.0,"{'vds': 24.0, 'nfing': 8.0, 'wg': 62.5, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 25.41662, 'PAE': 15.2997, 'Tj': 103.21439000000001}"
Run_40,0.0,"{'vds': 24.0, 'nfing': 6.0, 'wg': 100.0, 'gdg': 52.0, 'gsg': 78.0}","{'Pout': 26.52238, 'PAE': 15.23439, 'Tj': 104.995}"
