Trial,Mean_Score,Std_Score
Trial_1,inf,
Trial_2,inf,
Trial_3,0.3809516692666666,0.2343581873414158
Trial_4,0.3005948257,0.17491254384628854
Trial_5,0.28107467873333336,0.16606901879089625
Trial_6,0.23851126031666678,0.15087436802406307
Trial_7,0.2226238998166667,0.1503159257874472
Trial_8,0.20219115089999992,0.1292740976593995
Trial_9,0.18263378898333335,0.12354853993119616
Trial_10,0.17252760004999998,0.11910090467917048
Trial_11,0.1586989466833333,0.10375438598774725
Trial_12,0.15009508906666663,0.09696317483376206
Trial_13,0.13849996114999993,0.08932359130371306
Trial_14,0.13062245458333324,0.08009490157550736
Trial_15,0.1241045555999999,0.07529645838430346
Trial_16,0.11687269894999991,0.07164430723477448
Trial_17,0.11687269894999991,0.07164430723477448
Trial_18,0.11235366723333326,0.06967678185923865
Trial_19,0.10824019806666664,0.06856542972530091
Trial_20,0.10636811834999998,0.06758508868851014
Trial_21,0.10280950168333332,0.06631786157793554
Trial_22,0.09864488376666662,0.06373232908934436
Trial_23,0.09719904959999999,0.062217050673975136
Trial_24,0.09416096428333331,0.06246922858181854
Trial_25,0.09059659568333332,0.058449036270885796
Trial_26,0.08989827484999997,0.058057834473203736
Trial_27,0.08805460276666663,0.05795589893395097
Trial_28,0.08521602654999998,0.05540951236313724
Trial_29,0.08337646581666665,0.05544900313261509
Trial_30,0.08093809883333332,0.055772366298099445
Trial_31,0.07869918606666666,0.05375502666615772
Trial_32,0.07324935189999997,0.04730070858234274
Trial_33,0.0721179114833333,0.0471845898250381
Trial_34,0.0721179114833333,0.0471845898250381
Trial_35,0.07110096356666663,0.04762996270253908
Trial_36,0.07082999064999998,0.047520488537871976
Trial_37,0.06710115481666665,0.047505741273313994
Trial_38,0.06654089773333331,0.04678964932815002
Trial_39,0.06612194136666666,0.04636433954136614
Trial_40,0.06491179803333331,0.04665277670533632
Trial_41,0.06491179803333331,0.04665277670533632
Trial_42,0.06406498886666666,0.0462239172405634
Trial_43,0.06400304719999998,0.046157481005144024
Trial_44,0.062339083449999985,0.04564513312517856
Trial_45,0.061188245949999984,0.0457909568210063
Trial_46,0.061188245949999984,0.0457909568210063
Trial_47,0.06100031178333332,0.045668161209371415
Trial_48,0.059701350949999996,0.04577107750508137
Trial_49,0.05840463823333333,0.04553364254647583
Trial_50,0.05832288489999999,0.045457527769682544
Trial_51,0.05700156115,0.04472745605059182
Trial_52,0.056352843483333324,0.044903984861058975
Trial_53,0.05512138473333332,0.045359695839483544
Trial_54,0.05347038681666666,0.04404439006485828
Trial_55,0.05339102515000001,0.04398397749234853
Trial_56,0.05174671348333332,0.044521110073037835
Trial_57,0.05133001806666666,0.044345274824335035
Trial_58,0.05110234443333331,0.04418389024970414
Trial_59,0.04990200484999995,0.04122749176124819
Trial_60,0.04779667689999997,0.040962956842764894
Trial_61,0.046415250383333294,0.04052171252793688
Trial_62,0.045774434133333305,0.04044360836221353
Trial_63,0.04522127329999998,0.03984161075628833
Trial_64,0.044928273299999974,0.03980916001483081
Trial_65,0.04445372788333332,0.03959497068326427
Trial_66,0.04294464006666667,0.039394026627544806
Trial_67,0.04275438214999999,0.03944092560178799
Trial_68,0.042162456316666666,0.039481137618230314
Trial_69,0.041530829616666674,0.038886935088562335
Trial_70,0.040857866699999995,0.03900084019951051
Trial_71,0.04079366503333333,0.03890066888534579
Trial_72,0.039359594300000016,0.03836058389410259
Trial_73,0.03860607930000001,0.03826807184958526
Trial_74,0.03848657003333334,0.03836965418908954
Trial_75,0.03715234586666668,0.03684566296884049
Trial_76,0.03715234586666668,0.03684566296884049
Trial_77,0.036672209916666684,0.036389874808123154
Trial_78,0.036615258666666685,0.0364147051985304
Trial_79,0.034887934916666676,0.03630805950832362
Trial_80,0.03484728616666668,0.03632885082151924
Trial_81,0.03387544158333333,0.03643785248044818
Trial_82,0.03387544158333333,0.03643785248044818
Trial_83,0.03377263366666666,0.03646707113099255
Trial_84,0.03306170956666667,0.03642360860009731
Trial_85,0.031077116200000008,0.03482820133679978
Trial_86,0.03053843370000001,0.034053709280985264
Trial_87,0.03053843370000001,0.034053709280985264
Trial_88,0.03053843370000001,0.034053709280985264
Trial_89,0.030439924950000002,0.03399550808400271
Trial_90,0.03016230359999999,0.03404674694091158
Trial_91,0.029614551216666653,0.0336151221307521
Trial_92,0.029294786116666645,0.03338531560121451
Trial_93,0.028359951216666658,0.03263739714268192
Trial_94,0.02780477996666665,0.032642904659105486
Trial_95,0.026397315799999984,0.0313067573322056
Trial_96,0.026141578299999982,0.03109480643697806
Trial_97,0.025899308233333303,0.0311828040028373
Trial_98,0.025899308233333303,0.0311828040028373
Trial_99,0.025727026566666637,0.031153084314669503
Trial_100,0.02570047531666664,0.031173861324651938
Trial_101,0.024926880666666627,0.030711992946898675
Trial_102,0.02465252566666663,0.030428630617533037
Trial_103,0.02412713149999996,0.03022690205324847
Trial_104,0.023576316083333295,0.029898056142919526
Trial_105,0.023525925249999954,0.02992552600281429
Trial_106,0.02306897316666663,0.028979754613244764
Trial_107,0.021324948783333304,0.02791381022972156
Trial_108,0.021227302116666638,0.027971099367907325
Trial_109,0.02102723881666664,0.0279065692680176
Trial_110,0.02102723881666664,0.0279065692680176
Trial_111,0.020724282149999978,0.026844533997479325
Trial_112,0.020225679233333314,0.026577732835543506
Trial_113,0.020078285899999982,0.026546984360544014
Trial_114,0.019719076283333314,0.02646295505338982
Trial_115,0.018820900033333313,0.026155154105305785
Trial_116,0.018639010649999975,0.026177337016337673
Trial_117,0.018639010649999975,0.026177337016337673
