Run,Final_Score,Best_Params,Best_Objs
Run_1,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 106.62592140000001, 'Gain': 3.4120461000000004, 'NF_min': 1.3064026000000002}"
Run_2,0.0286044166666668,"{'vds': 22.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 108.0331759, 'Gain': 3.3313493999999997, 'NF_min': 1.2875244}"
Run_3,0.0,"{'vds': 28.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 105.2559933, 'Gain': 3.4173159, 'NF_min': 1.3173026}"
Run_4,0.0,"{'vds': 28.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 105.3031861, 'Gain': 3.4261244, 'NF_min': 1.3230049}"
Run_5,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 106.6067365, 'Gain': 3.4024385, 'NF_min': 1.3023788}"
Run_6,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 106.63812720000001, 'Gain': 3.4225607000000005, 'NF_min': 1.3117907}"
Run_7,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 106.63812720000001, 'Gain': 3.4225607000000005, 'NF_min': 1.3117907}"
Run_8,0.0,"{'vds': 28.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 105.3031861, 'Gain': 3.4261244, 'NF_min': 1.3230049}"
Run_9,0.0,"{'vds': 28.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 105.3031861, 'Gain': 3.4261244, 'NF_min': 1.3230049}"
Run_10,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 106.62592140000001, 'Gain': 3.4120461000000004, 'NF_min': 1.3064026000000002}"
Run_11,0.0,"{'vds': 26.0, 'nfing': 2.0, 'wg': 62.5, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 106.62592140000001, 'Gain': 3.4120461000000004, 'NF_min': 1.3064026000000002}"
Run_12,0.01084776000000054,"{'vds': 26.0, 'nfing': 2.0, 'wg': 75.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 104.83728359999999, 'Gain': 3.4103669, 'NF_min': 1.3326976000000001}"
