vds,wg,nfing,gdg,gsg,batchNum,vgs,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM,area
16,37.5,2,52,33,133,-1.2,2.8786099999999997,-9.12038,-31.259840000000004,70.68621999999999,1.54389,11.19685,-51.3681,23.34244,-3.35276,11.563410000000001,-11.01356,8.019639999999999,75.0
16,37.5,2,52,48,964,-1.2,2.84491,-10.62315,-31.31198,74.09764,1.32649,10.80514,-51.73579,23.2913,-3.3786400000000003,11.14056,-12.06104,8.0174,75.0
16,37.5,2,52,78,965,-1.2,2.83786,-11.25882,-31.29828,72.38715,1.3486200000000002,10.68665,-51.9863,23.280520000000003,-3.2823300000000004,11.059510000000001,-12.87297,8.01713,75.0
16,37.5,4,22,33,966,-1.2,2.6925,-9.96603,-30.645529999999997,77.16979,1.45781,11.35475,-50.8822,26.062479999999997,-3.56638,11.72987,-14.439,8.02034,150.0
16,37.5,4,22,48,967,-1.2,2.66505,-11.16505,-30.66838,78.28459000000001,1.39371,11.12858,-51.15005,26.017970000000002,-3.5422300000000004,11.52544,-15.208770000000001,8.01902,150.0
16,37.5,4,22,78,968,-1.2,2.82918,-12.68322,-30.746340000000004,76.04876999999999,1.32467,10.75061,-51.288059999999994,26.277520000000003,-3.46299,11.20128,-16.881,8.017330000000001,150.0
16,37.5,4,52,33,134,-1.2,2.86552,-10.96557,-30.78057,72.46821,1.45899,10.900269999999999,-51.50297,26.33295,-3.3509,11.32901,-15.457020000000002,8.01912,150.0
16,37.5,4,52,48,969,-1.2,2.81633,-11.971739999999999,-30.837809999999998,75.19915,1.3934,10.57346,-50.97146,26.25775,-3.2603400000000002,11.02242,-16.63713,8.02092,150.0
16,37.5,4,52,78,970,-1.2,2.7339599999999997,-13.83191,-30.89975,74.01482,1.33036,10.03679,-50.06635,26.128829999999997,-3.08894,10.549719999999999,-17.56437,8.015839999999999,150.0
16,37.5,6,22,33,971,-1.2,2.75007,-8.017610000000001,-30.05586,78.06024000000001,1.55281,11.63382,-49.906690000000005,27.91527,-3.8078,11.96448,-15.03147,8.018310000000001,225.0
16,37.5,6,22,48,972,-1.2,2.74055,-9.07351,-30.06738,79.50288,1.3957700000000002,11.37631,-50.14059,27.900209999999998,-3.81848,11.70191,-15.69331,8.017000000000001,225.0
16,37.5,6,22,78,973,-1.2,2.72244,-11.839789999999999,-30.06615,76.01698,1.21383,10.92971,-50.64843,27.871409999999997,-3.75852,11.28733,-17.57604,8.02143,225.0
