,,,,,batchNumber,VGS,fT_plt,fmax_plt,nf_min,gain
,,,,,min,min,min,min,min,min
VDS,Wg,nfing,gdg_val,gsg_val,,,,,,
16,37.5,4,22,33,205,-1.6,30.34283902,111.1437238,-1.240584,2.8060881
16,37.5,4,22,48,206,-1.6,30.077863300000004,111.38622,-1.2366081,2.7192855
16,37.5,4,22,63,207,-1.6,29.86690303,111.5549456,-1.2336056,2.6392101
16,37.5,4,22,78,208,-1.6,29.68963149,111.6827974,-1.2311746,2.5631802
16,37.5,4,37,33,209,-1.6,30.23580992,110.8707334,-1.2350909,2.5088513
16,37.5,4,37,48,210,-1.6,29.96048751,111.124558,-1.2300693,2.4074933
16,37.5,4,37,63,211,-1.6,29.74136149,111.3019475,-1.2262255,2.3155566000000003
16,37.5,4,37,78,212,-1.6,29.55769614,111.4371181,-1.2230816999999998,2.2294068
16,37.5,4,52,33,213,-1.6,30.11511976,110.6861,-1.2265684,2.1899077
16,37.5,4,52,48,214,-1.6,29.82747467,110.9467015,-1.2202448,2.0730168
16,37.5,4,52,63,215,-1.6,29.59902322,111.12942920000002,-1.2153595,1.9686443
16,37.5,4,52,78,216,-1.6,29.40743608,111.2689333,-1.2113367,1.8720457
16,37.5,6,22,33,373,-1.6,30.89787341,111.1445471,-1.2420783000000002,2.0338096
16,37.5,6,22,48,374,-1.6,30.65237599,111.3870323,-1.2382377,1.922312
16,37.5,6,22,63,375,-1.6,30.45896633,111.5557489,-1.2353535,1.8169594
16,37.5,6,22,78,376,-1.6,30.29810846,111.68359309999998,-1.2330297,1.7151998
16,37.5,6,37,33,377,-1.6,30.79234168,110.87157140000002,-1.2373716,1.6597546000000003
16,37.5,6,37,48,378,-1.6,30.53693856,111.1253803,-1.2326466,1.5331816
16,37.5,6,37,63,379,-1.6,30.33613605,111.302761,-1.2290613,1.4161785
16,37.5,6,37,78,380,-1.6,30.169091100000006,111.4379244,-1.2261508,1.3050095
16,37.5,6,52,33,381,-1.6,30.6735321,110.6869487,-1.2297972,1.2686161
16,37.5,6,52,48,382,-1.6,30.40647216,110.9475375,-1.2239623,1.1264735
16,37.5,6,52,63,383,-1.6,30.19662633,111.130252,-1.2195015,0.9976756
16,37.5,6,52,78,384,-1.6,30.02229406,111.2697487,-1.2158611,0.8771492000000001
16,37.5,8,22,33,541,-1.6,30.86273746,111.1446968,-1.2426868,0.8659402
16,37.5,8,22,48,542,-1.6,30.63208026,111.3871773,-1.2388888,0.7311278
16,37.5,8,22,63,543,-1.6,30.45169039,111.5558902,-1.2360447,0.602664
16,37.5,8,22,78,544,-1.6,30.3027464,111.6837312,-1.2337589,0.4780125
16,37.5,8,37,33,545,-1.6,30.75956876,110.8717262,-1.2381108,0.4319408
