,,,,,batchNumber,VGS,fT_plt,fmax_plt,nf_min,gain
,,,,,min,min,min,min,min,min
VDS,Wg,nfing,gdg_val,gsg_val,,,,,,
16,100.0,2,52,78,168,-1.6,31.58285425,98.1180087,-1.3481538999999998,1.9421193
16,100.0,4,22,33,325,-1.6,32.84887654,97.9149873,-1.3656173,0.1486126
16,100.0,4,22,48,326,-1.6,32.76787323,98.313448,-1.3618024,0.1095763
16,100.0,4,22,63,327,-1.6,32.70303036,98.6023702,-1.3589667,0.0701659
16,100.0,4,22,78,328,-1.6,32.64874745,98.8290492,-1.3566996,0.0305895
16,100.0,4,37,33,329,-1.6,32.79949232,97.4855417,-1.3662445,-0.08211410000000001
16,100.0,4,37,48,330,-1.6,32.71392833,97.8840885,-1.3621504999999998,-0.1275082
16,100.0,4,37,63,331,-1.6,32.64584809,98.1731586,-1.3590921,-0.1718326
16,100.0,4,37,78,332,-1.6,32.58871415,98.3997065,-1.3566382,-0.2154096
16,100.0,4,52,33,333,-1.6,32.74884479,97.2065056,-1.3648452,-0.3166538
16,100.0,4,52,48,334,-1.6,32.65838532,97.6026245,-1.3603588,-0.3690829
16,100.0,4,52,63,335,-1.6,32.58643986,97.8919103,-1.3569905,-0.4188132000000001
16,100.0,4,52,78,336,-1.6,32.52630401,98.118827,-1.3542784,-0.4667674
16,100.0,6,22,33,493,-1.6,34.36995165,97.9146005,-1.3681444,-1.9458735
16,100.0,6,22,48,494,-1.6,34.31316283,98.3130671,-1.3644647,-1.9735585
16,100.0,6,22,63,495,-1.6,34.27130239,98.6019895,-1.3617479,-2.0035128
16,100.0,6,22,78,496,-1.6,34.23825948,98.8286675,-1.3595887,-2.0348961
16,100.0,6,37,33,497,-1.6,34.322372200000004,97.4851506,-1.3696087,-2.1553628
16,100.0,6,37,48,498,-1.6,34.26224903,97.8836968,-1.3658203000000002,-2.187571
16,100.0,6,37,63,499,-1.6,34.21781127,98.1727699,-1.3630288000000002,-2.220752
16,100.0,6,37,78,500,-1.6,34.182787899999994,98.39931740000002,-1.3608163,-2.2545461
16,100.0,6,52,33,501,-1.6,34.27411215,97.2061215,-1.3692296999999998,-2.3662422000000003
16,100.0,6,52,48,502,-1.6,34.21040116,97.602237,-1.3652566000000002,-2.4034091
16,100.0,6,52,63,503,-1.6,34.16309285,97.8915207,-1.3623357,-2.440101
16,100.0,6,52,78,504,-1.6,34.12606226,98.1184392,-1.3600273,-2.4764963
16,100.0,8,22,33,661,-1.6,34.14607303,97.9139244,-1.369356,-3.8846014
16,100.0,8,22,48,662,-1.6,34.10742268,98.312396,-1.3657191,-3.9097918
16,100.0,8,22,63,663,-1.6,34.08157472,98.6013172,-1.363043,-3.9382306
16,100.0,8,22,78,664,-1.6,34.06318398,98.8279938,-1.360923,-3.9687343
16,100.0,8,37,33,665,-1.6,34.10137958,97.4844747,-1.3709617,-4.1040675
16,100.0,8,37,48,666,-1.6,34.05981391,97.8830187,-1.3672731000000002,-4.1331293
16,100.0,8,37,63,667,-1.6,34.03213856,98.1720961,-1.3645755,-4.1641127
16,100.0,8,37,78,668,-1.6,34.01248795,98.3986426,-1.3624522,-4.1963266
16,100.0,8,52,33,669,-1.6,34.05688981,97.20545,-1.3707528,-4.3239123
16,100.0,8,52,48,670,-1.6,34.01327319,97.601562,-1.3669493,-4.357192
16,100.0,8,52,63,671,-1.6,33.98286085,97.8908433,-1.3641869,-4.3909194000000005
16,100.0,8,52,78,672,-1.6,33.96217476,98.1177659,-1.3620289,-4.4249514
18,25.0,2,22,33,6061,-1.6,28.60568324,112.5205503,-1.2329178,1.5653998
18,25.0,2,22,48,6062,-1.6,28.22130889,112.6687157,-1.228067,1.5308687
18,25.0,2,22,63,6063,-1.6,27.91620484,112.76707720000002,-1.2243705,1.5018583
18,25.0,2,22,78,6064,-1.6,27.66035016,112.8386381,-1.2213561000000002,1.476499
18,25.0,2,37,33,6065,-1.6,28.46376808,112.3459202,-1.2226888,1.3714813
18,25.0,2,37,48,6066,-1.6,28.06639941,112.5084901,-1.2161071,1.3315934
18,25.0,2,37,63,6067,-1.6,27.751432,112.6179836,-1.211013,1.2982870000000002
18,25.0,2,37,78,6068,-1.6,27.48764596,112.6986768,-1.2068101,1.2692935
18,25.0,2,52,33,6069,-1.6,28.30183363,112.2238239,-1.2083345,1.1387196000000002
18,25.0,2,52,48,6070,-1.6,27.88913563,112.39518259999998,-1.1996525,1.0922156
18,25.0,2,52,63,6071,-1.6,27.56256111,112.5115083,-1.1928733,1.0536066000000002
18,25.0,2,52,78,6072,-1.6,27.28947239,112.59783,-1.1872448,1.0201311
18,25.0,4,22,33,6229,-1.6,28.84436104,112.5270166,-1.2346729,2.8335556
18,25.0,4,22,48,6230,-1.6,28.4697059,112.6751233,-1.2298987,2.7318358
18,25.0,4,22,63,6231,-1.6,28.17439067,112.7734415,-1.2262702,2.6397124
18,25.0,4,22,78,6232,-1.6,27.9268953,112.8449676,-1.2233177,2.5533046
18,25.0,4,37,33,6233,-1.6,28.70382397,112.3524565,-1.224909,2.544016
18,25.0,4,37,48,6234,-1.6,28.31706283,112.5149583,-1.2185,2.4251015
18,25.0,4,37,63,6235,-1.6,28.01145475,112.6244019,-1.2135572,2.3186491
18,25.0,4,37,78,6236,-1.6,27.75612848,112.70505559999998,-1.2094914,2.2197804
18,25.0,4,52,33,6237,-1.6,28.54344663,112.2304169,-1.2111073,2.2240464
18,25.0,4,52,48,6238,-1.6,28.141704600000004,112.4017052,-1.20271,2.0869685
18,25.0,4,52,63,6239,-1.6,27.82473585,112.5179792,-1.1961788,1.9657143
18,25.0,4,52,78,6240,-1.6,27.56032602,112.60426,-1.1907739,1.8542173
18,25.0,6,22,33,6397,-1.6,29.21114081,112.5288354,-1.2360383999999998,2.6899933
18,25.0,6,22,48,6398,-1.6,28.85410697,112.6769189,-1.2314006000000002,2.5489635
18,25.0,6,22,63,6399,-1.6,28.57330123,112.7752194,-1.2278915,2.4178672000000003
18,25.0,6,22,78,6400,-1.6,28.33971525,112.8467313,-1.2250471,2.2924412
18,25.0,6,37,33,6401,-1.6,29.07164268,112.3542992,-1.2270501,2.283998
18,25.0,6,37,48,6402,-1.6,28.70229718,112.5167774,-1.2209371,2.1222319
18,25.0,6,37,63,6403,-1.6,28.41213185,112.6262037,-1.2162522,1.9746352
18,25.0,6,37,78,6404,-1.6,28.17084149,112.7068436,-1.2124189,1.8355407
18,25.0,6,52,33,6405,-1.6,28.91275776,112.2322774,-1.2141737,1.8495922
18,25.0,6,52,48,6406,-1.6,28.52861999,112.4035418,-1.2062583999999998,1.6671424
18,25.0,6,52,63,6407,-1.6,28.2274928,112.5197983,-1.2001453000000002,1.5035375
18,25.0,6,52,78,6408,-1.6,27.97749664,112.60606509999998,-1.1951164,1.3515021
18,25.0,8,22,33,6565,-1.6,29.207517,112.5295551,-1.2365808,1.9633263
18,25.0,8,22,48,6566,-1.6,28.86359192,112.6776277,-1.2319877,1.7842047
18,25.0,8,22,63,6567,-1.6,28.59415449,112.77592,-1.2285203000000002,1.6158848999999995
18,25.0,8,22,78,6568,-1.6,28.37085264,112.8474252,-1.2257154,1.453842
18,25.0,8,37,33,6569,-1.6,29.07003602,112.35503,-1.2277314,1.462256
18,25.0,8,37,48,6570,-1.6,28.71394944,112.5174973,-1.221717,1.2622986
18,25.0,8,37,63,6571,-1.6,28.43561883,112.6269156,-1.2171236,1.078324
18,25.0,8,37,78,6572,-1.6,28.20502452,112.7075489,-1.2133765,0.9041157
18,25.0,8,52,33,6573,-1.6,28.91346061,112.2330166,-1.2150204,0.9386283
18,25.0,8,52,48,6574,-1.6,28.54319543,112.40426979999998,-1.2072675,0.7187802
18,25.0,8,52,63,6575,-1.6,28.25405529,112.5205181,-1.2013042,0.5203599
18,25.0,8,52,78,6576,-1.6,28.01551159,112.6067785,-1.1964159,0.3352818
18,37.5,2,22,33,6085,-1.6,29.70165919,111.0573778,-1.2478339,2.7281571
18,37.5,2,22,48,6086,-1.6,29.43368691,111.2256582,-1.2434573,2.6987878
18,37.5,2,22,63,6087,-1.6,29.218923200000006,111.3389791,-1.2401474,2.6741744
18,37.5,2,22,78,6088,-1.6,29.03756279,111.4224815,-1.237464,2.6527125
18,37.5,2,37,33,6089,-1.6,29.59480777,110.8609541,-1.2421372,2.4973878
18,37.5,2,37,48,6090,-1.6,29.31635894,111.0433557,-1.2366193,2.4613167
18,37.5,2,37,63,6091,-1.6,29.09354893,111.1672992,-1.2323848999999998,2.4313334
18,37.5,2,37,78,6092,-1.6,28.90554354,111.259558,-1.2289133999999995,2.4053317
18,37.5,2,52,33,6093,-1.6,29.47519177,110.7249207,-1.233181,2.2327561
18,37.5,2,52,48,6094,-1.6,29.18436148,110.915723,-1.2262437,2.1887106
18,37.5,2,52,63,6095,-1.6,28.95198432,111.04642859999998,-1.2208661,2.1523437000000003
18,37.5,2,52,78,6096,-1.6,28.75611965,111.144048,-1.2164247,2.1209504
18,37.5,4,22,33,6253,-1.6,30.03950044,111.0613773,-1.2500344,2.9024752
18,37.5,4,22,48,6254,-1.6,29.78322491,111.2296338,-1.2457332,2.8164124
18,37.5,4,22,63,6255,-1.6,29.57904639,111.342937,-1.2424905000000002,2.7366669
18,37.5,4,22,78,6256,-1.6,29.40731674,111.4264249,-1.2398686,2.6607129
18,37.5,4,37,33,6257,-1.6,29.93415156,110.865006,-1.2448126,2.6004469
18,37.5,4,37,48,6258,-1.6,29.66775742,111.0473538,-1.2394686,2.4996167
18,37.5,4,37,63,6259,-1.6,29.45579309,111.1712686,-1.2353872,2.4078206
18,37.5,4,37,78,6260,-1.6,29.27777582,111.2635051,-1.2320547,2.3215754
18,37.5,4,52,33,6261,-1.6,29.81630032,110.7290147,-1.2364251,2.276609
18,37.5,4,52,48,6262,-1.6,29.53800175,110.9197729,-1.2297788,2.1600988
18,37.5,4,52,63,6263,-1.6,29.31684959,111.05043229999998,-1.2246558,2.0557392
18,37.5,4,52,78,6264,-1.6,29.13120502,111.14802659999998,-1.2204446000000002,1.9589331
18,37.5,6,22,33,6421,-1.6,30.57407937,111.062321,-1.2516128,2.1897288
18,37.5,6,22,48,6422,-1.6,30.33722237,111.2305654,-1.2474469,2.0764815
18,37.5,6,22,63,6423,-1.6,30.1506339,111.343859,-1.2443228000000002,1.9690319
18,37.5,6,22,78,6424,-1.6,29.99525437,111.4273388,-1.2418083,1.864969
18,37.5,6,37,33,6425,-1.6,30.47016405,110.8659649,-1.2471743999999998,1.8036171000000003
18,37.5,6,37,48,6426,-1.6,30.22377484,111.0482965,-1.2421278999999998,1.6750758
18,37.5,6,37,63,6427,-1.6,30.02986939,111.1722018,-1.238306,1.5558295
18,37.5,6,37,78,6428,-1.6,29.86853594,111.26443059999998,-1.2352079,1.4422643
18,37.5,6,52,33,6429,-1.6,30.35414668,110.7299852,-1.2397312,1.4007742
18,37.5,6,52,48,6430,-1.6,30.0964497,110.9207295,-1.2335752,1.2565584
18,37.5,6,52,63,6431,-1.6,29.89385027,111.0513755,-1.2288788,1.1254735
18,37.5,6,52,78,6432,-1.6,29.72550035,111.1489618,-1.2250521,1.0025511
18,37.5,8,22,33,6589,-1.6,30.54146247,111.0625452,-1.2522822,1.0547562
18,37.5,8,22,48,6590,-1.6,30.3193414,111.2307848,-1.2481605,0.9161441
18,37.5,8,22,63,6591,-1.6,30.14570565,111.3440746,-1.2450778999999998,0.7836141
18,37.5,8,22,78,6592,-1.6,30.00218973,111.4275513,-1.2426028999999998,0.6547674
18,37.5,8,37,33,6593,-1.6,30.43986364,110.8661943,-1.2479844999999998,0.6039386
18,37.5,8,37,48,6594,-1.6,30.20858217,111.0485201,-1.2430371999999998,0.4511475
18,37.5,8,37,63,6595,-1.6,30.02811221,111.1724217,-1.2393076,0.3083842
18,37.5,8,37,78,6596,-1.6,29.87902722,111.2646475,-1.2362966999999998,0.1718945
18,37.5,8,52,33,6597,-1.6,30.32662078,110.7302192,-1.2407101,0.14175120000000002
18,37.5,8,52,48,6598,-1.6,30.0846095,110.920958,-1.2347193,-0.0252776
18,37.5,8,52,63,6599,-1.6,29.89627133,111.0515993,-1.2301758,-0.1780795
18,37.5,8,52,78,6600,-1.6,29.74031434,111.1491825,-1.2264932,-0.3218975
18,50.0,2,22,33,6109,-1.6,30.32539079,109.1563926,-1.264993,3.1199837
18,50.0,2,22,48,6110,-1.6,30.12322735,109.3513382,-1.2608108999999998,3.0972791
18,50.0,2,22,63,6111,-1.6,29.96038271,109.4845684,-1.2576632,3.0781501
18,50.0,2,22,78,6112,-1.6,29.82221135,109.5840076,-1.2551208,3.0614244
18,50.0,2,37,33,6113,-1.6,30.23874028,108.9323462,-1.2616161,2.8681577000000003
18,50.0,2,37,48,6114,-1.6,30.02800608,109.1401207,-1.2565933,2.8385386
18,50.0,2,37,63,6115,-1.6,29.85850814,109.2832315,-1.2527628,2.8138667
18,50.0,2,37,78,6116,-1.6,29.71483176,109.3908807,-1.2496375,2.7924528
18,50.0,2,52,33,6117,-1.6,30.14372899,108.7785967,-1.2554206,2.588059
18,50.0,2,52,48,6118,-1.6,29.92292625,108.9944415,-1.2493318000000002,2.5503676
18,50.0,2,52,63,6119,-1.6,29.74545171,109.1435248,-1.2446413,2.5192306
18,50.0,2,52,78,6120,-1.6,29.59522235,109.2561443,-1.2407851,2.4923534
18,50.0,4,22,33,6277,-1.6,30.76332097,109.1591597,-1.2676315,2.5583498
18,50.0,4,22,48,6278,-1.6,30.57377072,109.3541037,-1.2635235,2.4842318
18,50.0,4,22,63,6279,-1.6,30.42218065,109.487333,-1.2604422,2.4141816
18,50.0,4,22,78,6280,-1.6,30.29457489,109.58677079999998,-1.2579607,2.3466114
18,50.0,4,37,33,6281,-1.6,30.67820516,108.935144,-1.2647383,2.2590989
18,50.0,4,37,48,6282,-1.6,30.48051252,109.1428836,-1.2598899,2.1725854
18,50.0,4,37,63,6283,-1.6,30.32269152,109.2859784,-1.2562133,2.0925811000000003
18,50.0,4,37,78,6284,-1.6,30.1897393,109.39361540000002,-1.2532279,2.0166291000000003
18,50.0,4,52,33,6285,-1.6,30.58510256,108.78143020000002,-1.2591236,1.9444793
18,50.0,4,52,48,6286,-1.6,30.37778162,108.9972455,-1.2533297,1.8447003
18,50.0,4,52,63,6287,-1.6,30.21249103,109.1462961,-1.2488976,1.7542022000000002
18,50.0,4,52,78,6288,-1.6,30.0734572,109.2588993,-1.2452756,1.6695296000000002
18,50.0,6,22,33,6445,-1.6,31.47011634,109.1596362,-1.2694231000000002,1.4370533
18,50.0,6,22,48,6446,-1.6,31.30149169,109.3545747,-1.2654492,1.3455905
18,50.0,6,22,63,6447,-1.6,31.1690816,109.487799,-1.2624855,1.2572694
18,50.0,6,22,78,6448,-1.6,31.05926031,109.5872322,-1.2601108,1.1708291000000002
18,50.0,6,37,33,6449,-1.6,31.38659751,108.9356273,-1.2673188999999998,1.0831548999999998
18,50.0,6,37,48,6450,-1.6,31.2105612,109.1433581,-1.2627681,0.9801735
18,50.0,6,37,63,6451,-1.6,31.07242429,109.2864478,-1.2593514,0.8831848
18,50.0,6,37,78,6452,-1.6,30.95718561,109.39408059999998,-1.256601,0.7899222
18,50.0,6,52,33,6453,-1.6,31.29555399,108.7819217,-1.26266,0.7191958
18,50.0,6,52,48,6454,-1.6,31.11058892,108.9977287,-1.2573598999999998,0.6041147
18,50.0,6,52,63,6455,-1.6,30.96578852,109.14677140000002,-1.2533582,0.4981617999999999
18,50.0,6,52,78,6456,-1.6,30.84568965,109.25937009999998,-1.2501243999999998,0.3979439
18,50.0,8,22,33,6613,-1.6,31.40535675,109.1595739,-1.2702197,0.0260401
18,50.0,8,22,48,6614,-1.6,31.25240759,109.35451129999998,-1.2662897,-0.0814362
18,50.0,8,22,63,6615,-1.6,31.13390038,109.4877345,-1.2633674,-0.1859147
18,50.0,8,22,78,6616,-1.6,31.03697103,109.5871665,-1.261032,-0.2885073
18,50.0,8,37,33,6617,-1.6,31.32471164,108.9355653,-1.2682579,-0.3712208
18,50.0,8,37,48,6618,-1.6,31.16449966,109.1432947,-1.2638066,-0.4889445
18,50.0,8,37,63,6619,-1.6,31.04087122,109.28638329999998,-1.2604828,-0.6005958
18,50.0,8,37,78,6620,-1.6,30.93964912,109.3940152,-1.2578201999999998,-0.708375
18,50.0,8,52,33,6621,-1.6,31.23642379,108.7818624,-1.2637701,-0.7745512
18,50.0,8,52,48,6622,-1.6,31.06834135,108.997667,-1.2586369,-0.9029653
18,50.0,8,52,63,6623,-1.6,30.93858254,109.1467085,-1.2547901,-1.0219884
18,50.0,8,52,78,6624,-1.6,30.83228496,109.25930590000002,-1.2517025,-1.1350199
18,62.5,2,22,33,6133,-1.6,30.75237556,106.9245752,-1.2856798,3.1868963
18,62.5,2,22,48,6134,-1.6,30.59265784,107.1508513,-1.2815671999999998,3.170175
18,62.5,2,22,63,6135,-1.6,30.46345501,107.3073194,-1.2784821000000002,3.1559325
18,62.5,2,22,78,6136,-1.6,30.35353575,107.4254394,-1.2759968000000002,3.1434016
18,62.5,2,37,33,6137,-1.6,30.67890559,106.6677206,-1.28374,2.9221414
18,62.5,2,37,48,6138,-1.6,30.51203407,106.9058265,-1.2789687,2.8986866
18,62.5,2,37,63,6139,-1.6,30.37721363,107.0716495,-1.2753475,2.8790436
18,62.5,2,37,78,6140,-1.6,30.26262675,107.1972293,-1.2724038,2.8619428
18,62.5,2,52,33,6141,-1.6,30.59999275,106.4938284,-1.2792341,2.6342745
18,62.5,2,52,48,6142,-1.6,30.42467498,106.7383768,-1.2736126,2.6030575
18,62.5,2,52,63,6143,-1.6,30.28323944,106.9097977,-1.2693045,2.5771934
18,62.5,2,52,78,6144,-1.6,30.16306608,107.040281,-1.2657766,2.5548327
18,62.5,4,22,33,6301,-1.6,31.29213899,106.9266134,-1.2887663,2.066294
18,62.5,4,22,48,6302,-1.6,31.14550515,107.15289479999998,-1.2847267,2.0020714
18,62.5,4,22,63,6303,-1.6,31.02820522,107.3093749,-1.2817073,1.9402888
18,62.5,4,22,78,6304,-1.6,30.92934665,107.42750359999998,-1.2792825,1.8800339
18,62.5,4,37,33,6305,-1.6,31.22023432,106.669764,-1.2873197,1.7770607
18,62.5,4,37,48,6306,-1.6,31.06688932,106.9078583,-1.2827236000000002,1.7024202000000002
18,62.5,4,37,63,6307,-1.6,30.94448278,107.0736637,-1.2792572,1.6323823999999998
18,62.5,4,37,78,6308,-1.6,30.8412734,107.1992385,-1.2764545,1.5652582
18,62.5,4,52,33,6309,-1.6,31.14332547,106.4959043,-1.2834067,1.4770888
18,62.5,4,52,48,6310,-1.6,30.9822238,106.74043290000002,-1.2780836000000002,1.3912018999999998
18,62.5,4,52,63,6311,-1.6,30.85350322,106.9118403,-1.2740375,1.3123605
18,62.5,4,52,78,6312,-1.6,30.74524594,107.042303,-1.2707472,1.2379895
18,62.5,6,22,33,6469,-1.6,32.17710089,106.9267937,-1.2907784,0.6281678
18,62.5,6,22,48,6470,-1.6,32.05255609,107.1530731,-1.2868721,0.5551576
18,62.5,6,22,63,6471,-1.6,31.95571197,107.3095513,-1.2839697,0.4833465
18,62.5,6,22,78,6472,-1.6,31.87563177,107.42767759999998,-1.2816512,0.4122744
18,62.5,6,37,33,6473,-1.6,32.10682728,106.6699442,-1.2901277,0.309174
18,62.5,6,37,48,6474,-1.6,31.97652862,106.9080356,-1.2858293,0.2272529
18,62.5,6,37,63,6475,-1.6,31.87493281,107.073838,-1.2826232,0.1488693
18,62.5,6,37,78,6476,-1.6,31.79128973,107.1994108,-1.280056,0.07272310000000001
18,62.5,6,52,33,6477,-1.6,32.03213222,106.4960909,-1.287181,-0.0159078
18,62.5,6,52,48,6478,-1.6,31.89487744,106.7406147,-1.2823546,-0.10737089999999998
18,62.5,6,52,63,6479,-1.6,31.78790042,106.9120188,-1.2787416,-0.1927136
18,62.5,6,52,78,6480,-1.6,31.69990562,107.0424781,-1.2758423,-0.2741754
18,62.5,8,22,33,6637,-1.6,32.07795378,106.9265366,-1.291706,-0.9786866
18,62.5,8,22,48,6638,-1.6,31.96982616,107.1528185,-1.2878434,-1.0609182
18,62.5,8,22,63,6639,-1.6,31.88738932,107.3092971,-1.2849824,-1.1424168
18,62.5,8,22,78,6640,-1.6,31.82091913,107.4274236,-1.2827031999999998,-1.2234089
18,62.5,8,37,33,6641,-1.6,32.01051503,106.6696852,-1.2911995,-1.3268413
18,62.5,8,37,48,6642,-1.6,31.89680076,106.907777,-1.2870013,-1.4168328
18,62.5,8,37,63,6643,-1.6,31.81059485,107.0735811,-1.2838888000000002,-1.5036351
18,62.5,8,37,78,6644,-1.6,31.74105182,107.1991542,-1.2814101,-1.5883607
18,62.5,8,52,33,6645,-1.6,31.93899681,106.4958335,-1.2884264,-1.6782419999999998
18,62.5,8,52,48,6646,-1.6,31.8190737,106.7403568,-1.2837687,-1.7765368
18,62.5,8,52,63,6647,-1.6,31.72825069,106.9117608,-1.2803125,-1.868962
18,62.5,8,52,78,6648,-1.6,31.65477904,107.04222140000002,-1.2775614,-1.9576097
18,75.0,2,22,33,6157,-1.6,31.0814582,104.4556085,-1.310461,3.0930963
18,75.0,2,22,48,6158,-1.6,30.95144268,104.7163146,-1.3063445,3.081419
18,75.0,2,22,63,6159,-1.6,30.8459266,104.8991138,-1.3032641,3.0712831
18,75.0,2,22,78,6160,-1.6,30.7559696,105.0382554,-1.3007874,3.0622691000000004
18,75.0,2,37,33,6161,-1.6,31.01731754,104.1645733,-1.3095259,2.8206157000000003
18,75.0,2,37,48,6162,-1.6,30.88118441,104.4344306,-1.3048729,2.8025349
18,75.0,2,37,63,6163,-1.6,30.77088082,104.6247568,-1.3013548,2.7872616000000003
18,75.0,2,37,78,6164,-1.6,30.67687748,104.7705943,-1.2985034,2.7738992
18,75.0,2,52,33,6165,-1.6,30.94982689,103.9692285,-1.3061751,2.5295528
18,75.0,2,52,48,6166,-1.6,30.80652763,104.2444478,-1.300817,2.5041585
18,75.0,2,52,63,6167,-1.6,30.69053576,104.439104,-1.2967287,2.4830207000000004
18,75.0,2,52,78,6168,-1.6,30.59179505,104.5886829,-1.2933919,2.4646978
18,75.0,4,22,33,6325,-1.6,31.72520692,104.4571559,-1.3140141,1.5175382
18,75.0,4,22,48,6326,-1.6,31.60876959,104.7178926,-1.3099696,1.462023
18,75.0,4,22,63,6327,-1.6,31.5155735,104.9007148,-1.3069544,1.4076883999999998
18,75.0,4,22,78,6328,-1.6,31.43705217,105.0398633,-1.304538,1.3541376
18,75.0,4,37,33,6329,-1.6,31.66267129,104.1661152,-1.3135832,1.2420283
18,75.0,4,37,48,6330,-1.6,31.54056779,104.4359695,-1.3091063,1.1776917
18,75.0,4,37,63,6331,-1.6,31.44305319,104.6262955,-1.3057444,1.1164454
18,75.0,4,37,78,6332,-1.6,31.36097654,104.7721337,-1.3030354,1.057201
18,75.0,4,52,33,6333,-1.6,31.59721501,103.9708103,-1.3108385,0.9591152
18,75.0,4,52,48,6334,-1.6,31.46860451,104.2460078,-1.3057827,0.8851783000000001
18,75.0,4,52,63,6335,-1.6,31.36589044,104.440656,-1.3019603000000002,0.8164828000000001
18,75.0,4,52,78,6336,-1.6,31.27964303,104.5902295,-1.2988649,0.7511555
18,75.0,6,22,33,6493,-1.6,32.795372,104.4571281,-1.3162576,-0.1731643
18,75.0,6,22,48,6494,-1.6,32.70200077,104.7178669,-1.312346,-0.2301769
18,75.0,6,22,63,6495,-1.6,32.62986315,104.90068909999998,-1.3094476000000002,-0.2875109
18,75.0,6,22,78,6496,-1.6,32.57103714,105.0398369,-1.3071373,-0.3450265
18,75.0,6,37,33,6497,-1.6,32.73468828,104.1660837,-1.3166315,-0.4583512
18,75.0,6,37,48,6498,-1.6,32.63648164,104.4359379,-1.3124534,-0.5224055000000001
18,75.0,6,37,63,6499,-1.6,32.5607964,104.6262637,-1.3093527,-0.5848466
18,75.0,6,37,78,6500,-1.6,32.49921726,104.7721016,-1.3068801,-0.6462388000000001
18,75.0,6,52,33,6501,-1.6,32.67163155,103.970784,-1.3148654,-0.7470858
18,75.0,6,52,48,6502,-1.6,32.56776808,104.2459793,-1.3103097,-0.8187786
18,75.0,6,52,63,6503,-1.6,32.48789269,104.4406261,-1.3069235,-0.8867136
18,75.0,6,52,78,6504,-1.6,32.42276986,104.5901984,-1.3042223,-0.9522423
18,75.0,8,22,33,6661,-1.6,32.65975152,104.4567287,-1.317322,-1.9228197
18,75.0,8,22,48,6662,-1.6,32.58318151,104.7174699,-1.313454,-1.9841544
18,75.0,8,22,63,6663,-1.6,32.52629345,104.9002935,-1.3105969,-2.0465077000000003
18,75.0,8,22,78,6664,-1.6,32.48141537,105.0394446,-1.3083261999999998,-2.1094506
18,75.0,8,37,33,6665,-1.6,32.60149808,104.1656809,-1.3178424,-2.2279485
18,75.0,8,37,48,6666,-1.6,32.52094483,104.4355367,-1.3137653,-2.2953349
18,75.0,8,37,63,6667,-1.6,32.46099536,104.6258637,-1.3107591,-2.3617392
18,75.0,8,37,78,6668,-1.6,32.41391157,104.7717025,-1.308376,-2.4274635
18,75.0,8,52,33,6669,-1.6,32.5419353,103.9703801,-1.3162528,-2.5345849
18,75.0,8,52,48,6670,-1.6,32.45637806,104.2455781,-1.3118678999999998,-2.6085402
18,75.0,8,52,63,6671,-1.6,32.39288583,104.4402255,-1.3086408,-2.6793145000000003
18,75.0,8,52,78,6672,-1.6,32.34313442,104.5897984,-1.3060898,-2.7480199
18,87.5,2,22,33,6181,-1.6,31.35688225,101.8272471,-1.339722,2.9108796000000003
18,87.5,2,22,48,6182,-1.6,31.24894276,102.1234747,-1.3355496999999998,2.9034396
18,87.5,2,22,63,6183,-1.6,31.16102456,102.332439,-1.3324334999999998,2.8967474
18,87.5,2,22,78,6184,-1.6,31.08598201,102.4931093,-1.3299319,2.8906788
18,87.5,2,37,33,6185,-1.6,31.29974864,101.4996749,-1.3395544,2.6344569
18,87.5,2,37,48,6186,-1.6,31.1864099,101.8035428,-1.3349335,2.6209972
18,87.5,2,37,63,6187,-1.6,31.09446259,102.0198216,-1.3314505,2.6094751
18,87.5,2,37,78,6188,-1.6,31.01588731,102.185717,-1.3286345,2.5993179
18,87.5,2,52,33,6189,-1.6,31.24081797,101.2819983,-1.3370582,2.3433473
18,87.5,2,52,48,6190,-1.6,31.12138985,101.5894435,-1.3318364,2.3230621
18,87.5,2,52,63,6191,-1.6,31.02444537,101.8090409,-1.3278671,2.3060655
18,87.5,2,52,78,6192,-1.6,30.94179167,101.9790407,-1.3246368,2.2912766
18,87.5,4,22,33,6349,-1.6,32.10710521,101.828455,-1.3437656999999998,0.9512937
18,87.5,4,22,48,6350,-1.6,32.01310117,102.1247171,-1.3396646,0.9036671
18,87.5,4,22,63,6351,-1.6,31.93801311,102.3337139,-1.3366133,0.8561974
18,87.5,4,22,78,6352,-1.6,31.87450055,102.494409,-1.3341719,0.8088993
18,87.5,4,37,33,6353,-1.6,32.05159529,101.5008681,-1.3441151000000002,0.6912560999999999
18,87.5,4,37,48,6354,-1.6,31.9527663,101.8047403,-1.339672,0.6360964
18,87.5,4,37,63,6355,-1.6,31.87393955,102.0210159,-1.3363468,0.5827808000000001
18,87.5,4,37,78,6356,-1.6,31.80739593,102.1869166,-1.3336749,0.5307085
18,87.5,4,52,33,6357,-1.6,31.99474204,101.2832223,-1.3422401000000002,0.4262575
18,87.5,4,52,48,6358,-1.6,31.89044286,101.59066,-1.3373254,0.3628445
18,87.5,4,52,63,6359,-1.6,31.80720664,101.8102538,-1.3336264,0.3031724
18,87.5,4,52,78,6360,-1.6,31.7373155,101.9802517,-1.3306419,0.24594520000000006
18,87.5,6,22,33,6517,-1.6,33.37031068,101.8282713,-1.3462542,-0.9435816
