Run,Final_Score,Best_Params,Best_Objs
Run_1,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_2,0.003910188679245025,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.64290249999999, 'Gain': 2.449551, 'NF_min': 1.2220723999999998}"
Run_3,0.02668886792452855,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 112.647071, 'Gain': 2.7700823, 'NF_min': 1.2341451}"
Run_4,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_5,0.03829809614065251,"{'vds': 16.0, 'nfing': 2.0, 'wg': 37.5, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 111.29830829999999, 'Gain': 2.4104203999999996, 'NF_min': 1.2233936}"
Run_6,0.006259811320754677,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.8449676, 'Gain': 2.5533046, 'NF_min': 1.2233177}"
Run_7,0.07409639048027357,"{'vds': 16.0, 'nfing': 2.0, 'wg': 37.5, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 111.14005790000002, 'Gain': 2.7111857999999995, 'NF_min': 1.2385542999999999}"
Run_8,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_9,0.014029622641509518,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.6303875, 'Gain': 2.5530277000000003, 'NF_min': 1.2274357}"
Run_10,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_11,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_12,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_13,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_14,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_15,0.014029622641509518,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.6303875, 'Gain': 2.5530277000000003, 'NF_min': 1.2274357}"
Run_16,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_17,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_18,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_19,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_20,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_21,0.04590068885077199,"{'vds': 16.0, 'nfing': 4.0, 'wg': 37.5, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 111.5549456, 'Gain': 2.6392101, 'NF_min': 1.2336056}"
Run_22,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_23,0.05390275986277909,"{'vds': 16.0, 'nfing': 2.0, 'wg': 37.5, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 111.12089399999999, 'Gain': 2.4416808999999997, 'NF_min': 1.22739}"
Run_24,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_25,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_26,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_27,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_28,0.003910188679245025,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.64290249999999, 'Gain': 2.449551, 'NF_min': 1.2220723999999998}"
Run_29,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_30,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_31,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_32,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_33,0.027684716981131844,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 112.5270166, 'Gain': 2.8335556, 'NF_min': 1.2346728999999999}"
Run_34,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_35,0.020463396226415322,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.64057679999999, 'Gain': 2.6863718999999997, 'NF_min': 1.2308456}"
Run_36,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_37,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_38,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_39,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_40,0.004842075471698153,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.986799, 'Gain': 2.453375, 'NF_min': 1.2225663}"
Run_41,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_42,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_43,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_44,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_45,0.03144987658662071,"{'vds': 16.0, 'nfing': 2.0, 'wg': 37.5, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 111.67917630000001, 'Gain': 2.6318966, 'NF_min': 1.2289395}"
Run_46,0.026013773241852653,"{'vds': 24.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 111.6015468, 'Gain': 2.3767362000000003, 'NF_min': 1.2241882}"
Run_47,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_48,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.74591640000001, 'Gain': 2.3790294, 'NF_min': 1.2094904}"
Run_49,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_50,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_51,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_52,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_53,0.01585627777777754,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9087245, 'Gain': 2.2714587, 'NF_min': 1.2047835}"
Run_54,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_55,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_56,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_57,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_58,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_59,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_60,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_61,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_62,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_63,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_64,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 33.0}","{'fmax': 112.5119498, 'Gain': 2.4995395, 'NF_min': 1.2155795}"
Run_65,0.026760617400419146,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.4911287, 'Gain': 2.2609287, 'NF_min': 1.2226788}"
Run_66,0.014029622641509518,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.6303875, 'Gain': 2.5530277000000003, 'NF_min': 1.2274357}"
Run_67,0.011830566037735645,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 112.7734415, 'Gain': 2.6397124, 'NF_min': 1.2262701999999999}"
Run_68,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_69,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_70,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 48.0}","{'fmax': 112.51495829999999, 'Gain': 2.4251015, 'NF_min': 1.2185}"
Run_71,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_72,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_73,0.023791886792452935,"{'vds': 22.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.64275900000001, 'Gain': 2.5189217999999998, 'NF_min': 1.2326097}"
Run_74,0.0105316981132077,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 112.76304669999999, 'Gain': 2.7881562, 'NF_min': 1.2255818}"
Run_75,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_76,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_77,0.0105316981132077,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 33.0}","{'fmax': 112.76304669999999, 'Gain': 2.7881562, 'NF_min': 1.2255818}"
Run_78,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_79,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_80,0.021510566037736236,"{'vds': 18.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.6769189, 'Gain': 2.5489634999999997, 'NF_min': 1.2314006000000002}"
Run_81,0.0,"{'vds': 18.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.62440190000001, 'Gain': 2.3186491, 'NF_min': 1.2135572000000001}"
Run_82,0.03144987658662071,"{'vds': 16.0, 'nfing': 2.0, 'wg': 37.5, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 111.67917630000001, 'Gain': 2.6318966, 'NF_min': 1.2289395}"
Run_83,0.023791886792452935,"{'vds': 22.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 112.64275900000001, 'Gain': 2.5189217999999998, 'NF_min': 1.2326097}"
Run_84,0.0018562264150943002,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 33.0}","{'fmax': 112.56740520000001, 'Gain': 2.3487343, 'NF_min': 1.2209838}"
Run_85,0.0,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.64662279999999, 'Gain': 2.3530377000000002, 'NF_min': 1.2176746}"
Run_86,0.003910188679245025,"{'vds': 22.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.64290249999999, 'Gain': 2.449551, 'NF_min': 1.2220723999999998}"
