Trial,Mean_Score,Std_Score
Trial_1,inf,
Trial_2,0.6291390246666668,0.34758793068546096
Trial_3,0.463093688,0.2773764272056916
Trial_4,0.37003144600000015,0.20029343552605675
Trial_5,0.33069812800000004,0.18067305108384119
Trial_6,0.30402660899999995,0.17239617883959027
Trial_7,0.2907006513333333,0.17061103206403094
Trial_8,0.2738395513333333,0.16563500820400306
Trial_9,0.2582393976666667,0.1614615705390329
Trial_10,0.24167389066666672,0.15913967333476878
Trial_11,0.22679564999999993,0.1447973848100975
Trial_12,0.2092475753333333,0.13409516440077823
Trial_13,0.20849480866666664,0.1326684110906701
Trial_14,0.19189929633333333,0.13417849255357184
Trial_15,0.18231569066666659,0.13412541323276173
Trial_16,0.17360963033333326,0.131134937317714
Trial_17,0.1654303946666666,0.12455255476388628
Trial_18,0.1592199526666666,0.11884017397970183
Trial_19,0.15274073933333326,0.11706707288401097
Trial_20,0.14177276233333327,0.11002797799580355
Trial_21,0.13940942399999995,0.10640045539962911
Trial_22,0.13820670066666657,0.1060553210078284
Trial_23,0.1313332256666666,0.10296122593541131
Trial_24,0.12132961199999992,0.09874135264102574
Trial_25,0.11312229133333329,0.09626020002151868
Trial_26,0.10993486599999995,0.09483153366717849
Trial_27,0.10927689599999994,0.09403646776115114
Trial_28,0.1051980673333333,0.09129876554123605
Trial_29,0.1023636293333333,0.0908420334840126
Trial_30,0.10030900099999995,0.08995697119991324
Trial_31,0.09597856133333328,0.08834897859950823
Trial_32,0.09418439299999996,0.08684931455339538
Trial_33,0.0923515313333333,0.08593404461508726
Trial_34,0.09105370966666662,0.08504336459188724
Trial_35,0.09080580299999996,0.0845876478058504
Trial_36,0.08858032466666663,0.08209689856700378
Trial_37,0.08641765133333328,0.0798049523604343
Trial_38,0.07947320733333328,0.0755972895542201
Trial_39,0.07702338399999993,0.07344145076548404
Trial_40,0.07418727166666661,0.07017614786951629
Trial_41,0.07418727166666661,0.07017614786951629
Trial_42,0.0715290166666666,0.06797756231040679
Trial_43,0.06856532833333326,0.06472698442434699
Trial_44,0.06831028866666661,0.06493493860777969
Trial_45,0.06822800699999995,0.0648845824448939
Trial_46,0.06822800699999995,0.0648845824448939
Trial_47,0.06822800699999995,0.0648845824448939
Trial_48,0.06640261866666661,0.06530838327570143
Trial_49,0.06270952633333325,0.06369169697790344
Trial_50,0.06255326899999993,0.06373033254193457
Trial_51,0.062364018999999916,0.06388751307109679
Trial_52,0.06113904633333325,0.06413721576712748
Trial_53,0.05964453466666658,0.06382165453763025
Trial_54,0.05674552033333326,0.06272436734022448
Trial_55,0.056556270333333256,0.06286658147112095
Trial_56,0.055071787666666594,0.06358327557786397
Trial_57,0.05268765233333327,0.06204983632251921
Trial_58,0.05184963233333326,0.06190155194781298
Trial_59,0.050974117333333256,0.06238050265399198
Trial_60,0.04978977233333325,0.06169494909196844
Trial_61,0.04936309233333327,0.06196346098013371
Trial_62,0.04782689299999993,0.060658222785848114
Trial_63,0.04590308066666659,0.05878696690601734
Trial_64,0.04426717066666659,0.054955869954356244
Trial_65,0.042783686333333265,0.05333427156220662
Trial_66,0.04226346266666659,0.05346855858106794
Trial_67,0.04115840333333327,0.053088786312802734
Trial_68,0.040666849999999935,0.0529929764526861
Trial_69,0.04007902999999993,0.0519380811564746
Trial_70,0.03900935499999993,0.05125676036513542
Trial_71,0.0384465216666666,0.05113261335506838
Trial_72,0.03646038966666659,0.05089622496363178
Trial_73,0.035277576999999935,0.05068594736551226
Trial_74,0.0338154633333333,0.051065443713751504
Trial_75,0.0332774633333333,0.05107532850191945
