batchNumber,VDS,VGS,Wg,nfing,gdg_val,gsg_val,fT_plt,fmax_plt,nf_min,gain
120,16,-1.6,75.0,2,52,78,30.90755232,104.0180681,1.2829253999999999,2.3754535
133,16,-1.6,87.5,2,22,33,31.69841022,100.93906779999999,1.3282601,2.7914651000000004
134,16,-1.6,87.5,2,22,48,31.58536477,101.3060684,1.3244532,2.7826321
135,16,-1.6,87.5,2,22,63,31.493486400000002,101.5702051,1.3216069,2.774906
136,16,-1.6,87.5,2,22,78,31.41510861,101.7761327,1.3193201,2.7680113
137,16,-1.6,87.5,2,37,33,31.64135503,100.5398135,1.3277468000000001,2.5215251
138,16,-1.6,87.5,2,37,48,31.52283992,100.91028829999999,1.3234860000000002,2.506733
139,16,-1.6,87.5,2,37,63,31.42671322,101.1769679,1.3202691999999998,2.4942231
140,16,-1.6,87.5,2,37,78,31.344715700000002,101.3849061,1.3176648000000002,2.4832777000000004
141,16,-1.6,87.5,2,52,33,31.58159559,100.2785059,1.3250498,2.2371567000000003
142,16,-1.6,87.5,2,52,48,31.45672843,100.6488312,1.3201866000000002,2.2155855
143,16,-1.6,87.5,2,52,63,31.35555681,100.9173718,1.3164821000000002,2.1976366
144,16,-1.6,87.5,2,52,78,31.26933208,101.1267676,1.3134624,2.1820884
157,16,-1.6,100.0,2,22,33,31.95232171,97.9141687,1.3615023000000002,2.5357337
158,16,-1.6,100.0,2,22,48,31.85674266,98.31258170000001,1.3576139999999999,2.5305252
159,16,-1.6,100.0,2,22,63,31.77893073,98.60146259999999,1.3547118,2.5257419999999997
160,16,-1.6,100.0,2,22,78,31.71235633,98.8281094,1.3523831,2.5213624
161,16,-1.6,100.0,2,37,33,31.900887800000003,97.4847458,1.3615986,2.2664125
162,16,-1.6,100.0,2,37,48,31.80056474,97.883282,1.3573228000000002,2.2556595
163,16,-1.6,100.0,2,37,63,31.71896445,98.1723483,1.3541035,2.246426
164,16,-1.6,100.0,2,37,78,31.64931752,98.3988868,1.3515027,2.2382784
165,16,-1.6,100.0,2,52,33,31.84808045,97.2056798,1.3595604,1.9858189999999998
166,16,-1.6,100.0,2,52,48,31.74220695,97.601801,1.3547604,1.9687935
167,16,-1.6,100.0,2,52,63,31.65622203,97.8910864,1.3511164,1.9545267
168,16,-1.6,100.0,2,52,78,31.58285425,98.1180087,1.3481538999999998,1.9421192999999999
181,16,-1.6,25.0,4,22,33,29.11436758,112.76304669999999,1.2255818,2.7881562
182,16,-1.6,25.0,4,22,48,28.72934606,112.98516609999999,1.2211288,2.6846943
183,16,-1.6,25.0,4,22,63,28.42489928,113.13791090000002,1.2177373,2.5913015
184,16,-1.6,25.0,4,22,78,28.17040949,113.2528358,1.2149732,2.5039217000000002
185,16,-1.6,25.0,4,37,33,28.97100459,112.5119498,1.2155795,2.4995395
186,16,-1.6,25.0,4,37,48,28.57290129,112.74591640000001,1.2094904,2.3790294
187,16,-1.6,25.0,4,37,63,28.25852777,112.9087245,1.2047835,2.2714587
188,16,-1.6,25.0,4,37,78,27.99603142,113.03196499999999,1.2009048,2.1717687000000003
189,16,-1.6,25.0,4,52,33,28.80648652,112.341398,1.2016783000000002,2.1806727
190,16,-1.6,25.0,4,52,48,28.39272449,112.582353,1.1936031999999999,2.0420839
191,16,-1.6,25.0,4,52,63,28.06683037,112.7507777,1.187309,1.9198042000000002
192,16,-1.6,25.0,4,52,78,27.795028499999997,112.878895,1.1820918,1.8075803
205,16,-1.6,37.5,4,22,33,30.34283902,111.14372379999999,1.240584,2.8060881
206,16,-1.6,37.5,4,22,48,30.077863300000004,111.38622,1.2366081,2.7192855
207,16,-1.6,37.5,4,22,63,29.86690303,111.5549456,1.2336056,2.6392101
