batchNum,vds,vgs,wg,nfing,gdg,gsg,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM
71,16,-1.4,100,6,22,33,1.88379,17.8021,-29.36924,76.58683,0.8541,9.44495,-52.07983,30.53183,-5.03033,10.29905,25.5015,8.0122
72,16,-1.4,100,6,22,48,1.89857,18.40528,-29.2621,73.21668,0.84181,9.38561,-51.80982,30.56578,-4.86796,10.22742,25.69782,8.01245
73,16,-1.4,100,6,22,78,1.89043,19.31944,-29.1291,69.91678,0.82727,9.15004,-51.47741,30.54712,-4.55689,9.97731,25.99024,8.01268
74,16,-1.4,100,6,52,48,1.90988,18.25156,-29.35625,68.0293,0.86214,9.34695,-52.13769,30.59157,-4.90373,10.20909,25.68784,8.01237
75,16,-1.4,100,6,52,78,1.89617,19.07979,-29.22151,66.39624,0.84938,9.0916,-51.81025,30.56028,-4.59951,9.94098,25.96077,8.01262
76,16,-1.4,100,8,22,33,1.82053,17.27356,-28.8721,75.81069,0.80773,9.41439,-51.89725,31.63288,-5.08519,10.22211,26.5477,8.01252
77,16,-1.4,100,8,22,48,1.98882,17.84757,-28.78254,73.48204,0.79407,9.21136,-51.5453,32.01685,-5.27656,10.00543,26.74029,8.01276
78,16,-1.4,100,8,22,78,1.93593,18.59735,-28.70878,69.53504,0.778,8.73054,-51.2195,31.89979,-4.8954,9.50854,27.0044,8.01291
79,16,-1.4,100,8,52,48,1.9792,17.39811,-28.86983,67.74495,0.81329,9.18962,-51.95009,31.99579,-5.34253,10.00291,26.65326,8.01282
80,16,-1.4,100,8,52,78,1.92427,18.05906,-28.77153,64.86329,0.79758,8.71666,-51.54901,31.87356,-4.97053,9.51423,26.90303,8.01301
81,20,-1.4,25,2,22,33,3.38131,10.86741,-32.30497,64.52278,0.29768,12.01776,-56.85057,22.28055,-9.0925,12.31544,13.18805,8.01948
82,20,-1.4,25,2,22,48,3.36118,11.52124,-32.33337,66.23639,0.31098,11.83526,-56.54493,22.25462,-8.78516,12.14623,13.46947,8.01844
83,20,-1.4,25,2,22,78,3.34247,12.68178,-32.34628,66.87678,0.33895,11.56462,-56.09893,22.23038,-8.26682,11.90356,13.96356,8.01698
84,20,-1.4,25,2,52,48,3.20023,12.82552,-32.35291,65.84155,0.3692,11.01182,-56.25366,22.04151,-7.98416,11.38102,14.05735,8.01716
85,20,-1.4,25,2,52,78,3.13478,14.71357,-32.34565,65.65641,0.4257,10.46202,-55.53356,21.95176,-7.15533,10.88772,14.79643,8.0155
86,20,-1.4,25,4,22,33,3.35356,10.51405,-32.05295,65.63671,0.37999,12.55896,-56.87598,25.25506,-9.29219,12.93895,15.96287,8.01469
87,20,-1.4,25,4,22,48,3.31774,11.34568,-32.06482,67.08284,0.42226,12.25005,-57.06885,25.20843,-8.8686,12.67231,16.33982,8.01438
88,20,-1.4,25,4,22,78,3.18993,12.17058,-32.09779,66.39552,0.5126,11.6706,-57.14064,25.03781,-8.29832,12.1832,16.73949,8.01427
89,20,-1.4,25,4,52,48,3.09122,13.86096,-32.11002,66.3054,0.55125,11.03615,-56.53151,24.9013,-7.51661,11.5874,17.38469,8.01346
90,20,-1.4,25,4,52,78,2.8404,14.17013,-32.16892,66.04628,0.66698,10.08467,-56.51575,24.5338,-6.88443,10.75165,17.64937,8.01288
91,20,-1.4,25,6,22,33,3.38585,11.37915,-31.85102,66.39155,0.4421,12.30857,-56.70423,27.0576,-8.93728,12.75067,18.12031,8.01311
92,20,-1.4,25,6,22,48,3.32105,12.06792,-31.85708,68.53511,0.48259,11.95309,-56.61381,26.97367,-8.56136,12.43568,18.41231,8.01295
